"cols"
"part_wave_uid"
"part_id"
"country"
"panel"
"wave"
"date"
"weekday"
"survey_round"
"cnt_gender"
"cnt_age_group"
"cnt_age_est_min"
"cnt_age_est_max"
"cnt_mass"
"cnt_phys"
"cnt_frequency"
"cnt_total_time"
"cnt_main_type"
"cnt_type"
"cnt_household"
"cnt_home"
"cnt_work"
"cnt_school"
"cnt_other"
"cnt_supermarket"
"cnt_shop"
"cnt_bar_rest"
"cnt_sport"
"cnt_outside_other"
"cnt_health_facility"
"cnt_salon"
"cnt_other_house"
"cnt_worship"
"cnt_public_transport"
"cnt_other_place"
"cnt_other_place_text"
"cnt_prec_none"
"cnt_prec_2m_plus"
"cnt_prec_1m_plus"
"cnt_prec_within_1m"
"cnt_prec_mask"
"cnt_prec_wash_before"
"cnt_prec_wash_after"
"cnt_prec_prefer_not_to_say"
"cnt_prec"
"cnt_prec_yn"
"contact_flag"
